rose
<(0, 0, 1, 0) |  white | 0  0 <- Seed>
<(0, 2, 2, 0) | yellow | 0  0 <- Seed>
<(2, 0, 2, 1) |    red | 0  0 <- Seed>
<     Generic |  white | 1  1 <- ((0, 0, 1, 0), (0, 0, 1, 0)) [75 %]>
<(0, 1, 1, 0) |  white | 1  2 <- ((0, 0, 1, 0), (0, 2, 2, 0)) [50 %]>
<(0, 1, 2, 0) | yellow | 1  2 <- ((0, 0, 1, 0), (0, 2, 2, 0)) [50 %]>
<     Generic |    red | 1  2 <- ((0, 0, 1, 0), (2, 0, 2, 1)) [50 %]>
<     Generic |   pink | 1  2 <- ((0, 0, 1, 0), (2, 0, 2, 1)) [50 %]>
<(1, 1, 2, 0) | orange | 1  2 <- ((0, 2, 2, 0), (2, 0, 2, 1)) [50 %]>
<(1, 1, 2, 1) | yellow | 1  2 <- ((0, 2, 2, 0), (2, 0, 2, 1)) [50 %]>
<     Generic | yellow | 2  3 <- ((0, 2, 2, 0), (0, 1, 2, 0)) [100 %]>
<     Generic | orange | 2  3 <- ((1, 1, 2, 0), (1, 1, 2, 0)) [56.2 %]>
<(0, 0, 0, 0) | purple | 1  4 <- ((0, 0, 1, 0), (0, 0, 1, 0)) [25 %]>
<(2, 0, 2, 0) |  black | 1  4 <- ((2, 0, 2, 1), (2, 0, 2, 1)) [25 %]>
<(2, 0, 2, 2) |   pink | 1  4 <- ((2, 0, 2, 1), (2, 0, 2, 1)) [25 %]>
<(1, 0, 1, 0) |    red | 2  6 <- ((2, 0, 2, 1), (0, 0, 0, 0)) [50 %]>
<(1, 0, 1, 1) |   pink | 2  6 <- ((2, 0, 2, 1), (0, 0, 0, 0)) [50 %]>
<     Generic | purple | 2  6 <- ((0, 0, 1, 0), (0, 1, 1, 0)) [25 %]>
<(1, 0, 2, 1) |   pink | 2  6 <- ((2, 0, 2, 1), (0, 1, 2, 0)) [25 %]>
<(1, 0, 2, 0) |    red | 2  6 <- ((2, 0, 2, 1), (0, 1, 2, 0)) [25 %]>
<(0, 0, 2, 0) |  white | 2  6 <- ((0, 1, 2, 0), (0, 1, 2, 0)) [25 %]>
<(1, 1, 1, 0) |    red | 3 10 <- ((0, 2, 2, 0), (1, 0, 1, 0)) [25 %]>
<     Generic |  black | 3 10 <- ((2, 0, 2, 1), (1, 0, 1, 0)) [25 %]>
<(2, 1, 2, 1) | orange | 2 10 <- ((1, 1, 2, 0), (2, 0, 2, 2)) [25 %]>
<(1, 1, 1, 1) |   pink | 3 14 <- ((0, 2, 2, 0), (1, 0, 1, 1)) [12.5 %]>
<(1, 0, 2, 2) |  white | 2 14 <- ((1, 1, 2, 1), (2, 0, 2, 2)) [12.5 %]>
<(0, 1, 0, 0) | purple | 2 14 <- ((0, 1, 1, 0), (0, 1, 1, 0)) [alt:(0, 0, 0, 0) breed with (0, 2, 2, 0) for {yellow}] [12.5 %]>
<(0, 2, 1, 0) | yellow | 3 16 <- ((0, 2, 2, 0), (0, 1, 0, 0)) [50 %]>
<(2, 1, 2, 2) | yellow | 3 18 <- ((2, 0, 2, 1), (2, 1, 2, 1)) [12.5 %]>
<(0, 2, 0, 0) |  white | 3 18 <- ((0, 1, 0, 0), (0, 1, 0, 0)) [25 %]>
<(0, 0, 1, 1) |  white | 3 20 <- ((0, 0, 0, 0), (1, 0, 2, 2)) [50 %]>
<(0, 0, 2, 1) |  white | 3 20 <- ((0, 1, 2, 0), (1, 0, 2, 2)) [25 %]>
<(2, 0, 1, 0) |  black | 3 22 <- ((2, 0, 2, 1), (1, 0, 1, 0)) [alt:(2, 0, 2, 0) breed with (0, 2, 2, 0) for {red}] [12.5 %]>
<(2, 0, 1, 1) |    red | 3 22 <- ((1, 0, 1, 0), (2, 0, 2, 2)) [alt:(2, 0, 2, 1) breed with (0, 2, 2, 0) for {pink,red}] [25 %]>
<(1, 2, 1, 0) | orange | 3 24 <- ((1, 1, 2, 0), (0, 1, 0, 0)) [12.5 %]>
<(1, 0, 1, 2) |  white | 3 26 <- ((1, 0, 1, 1), (2, 0, 2, 2)) [alt:(1, 0, 2, 2) breed with (0, 2, 2, 0) for {white,pink}] [12.5 %]>
<(0, 1, 1, 1) |  white | 4 30 <- ((0, 2, 2, 0), (1, 0, 1, 2)) [25 %]>
<(1, 2, 1, 1) | yellow | 3 32 <- ((0, 1, 0, 0), (2, 1, 2, 1)) [12.5 %]>
<(2, 1, 1, 1) |    red | 4 32 <- ((2, 0, 2, 2), (1, 2, 1, 0)) [25 %]>
<(1, 2, 0, 0) |    red | 4 32 <- ((1, 2, 1, 0), (1, 2, 1, 0)) [12.5 %]>
<(0, 0, 0, 1) | purple | 3 34 <- ((0, 0, 0, 0), (1, 0, 1, 1)) [alt:(0, 0, 0, 0) breed with (2, 0, 2, 1) for {white}] [12.5 %]>
<(2, 2, 0, 0) |   blue | 5 36 <- ((1, 2, 0, 0), (1, 2, 0, 0)) [25 %]>
<(2, 0, 1, 2) |   pink | 4 38 <- ((2, 0, 2, 1), (2, 0, 1, 1)) [alt:(2, 0, 2, 2) breed with (0, 2, 2, 0) for {pink}] [12.5 %]>
<(1, 1, 0, 0) |    red | 5 38 <- ((0, 0, 0, 0), (1, 2, 0, 0)) [50 %]>
<(2, 1, 1, 0) |    red | 6 41 <- ((2, 0, 2, 0), (2, 2, 0, 0)) [100 %]>
<(0, 0, 0, 2) | purple | 4 42 <- ((1, 0, 1, 2), (1, 0, 1, 2)) [6.2 %]>
<(2, 1, 1, 2) |  white | 5 44 <- ((2, 0, 2, 2), (2, 1, 1, 1)) [12.5 %]>
<(2, 1, 0, 0) |  black | 4 46 <- ((1, 0, 1, 0), (1, 2, 1, 0)) [6.2 %]>
<(1, 1, 2, 2) | yellow | 4 46 <- ((1, 0, 2, 2), (2, 1, 2, 2)) [alt:(2, 1, 2, 2) breed with (0, 0, 1, 0) for {white}] [25 %]>
<(0, 1, 0, 1) | purple | 4 48 <- ((1, 0, 1, 1), (0, 2, 0, 0)) [alt:(0, 1, 0, 0) breed with (2, 0, 2, 1) for {white}] [12.5 %]>
<(1, 2, 0, 1) |   pink | 4 48 <- ((1, 2, 1, 1), (1, 2, 1, 1)) [6.2 %]>
<(2, 1, 2, 0) | orange | 7 49 <- ((2, 0, 2, 0), (2, 1, 1, 0)) [25 %]>
<(2, 1, 0, 2) | purple | 6 52 <- ((2, 1, 1, 2), (2, 1, 1, 2)) [12.5 %]>
<(1, 1, 1, 2) |  white | 4 53 <- ((2, 0, 2, 2), (1, 2, 1, 1)) [alt:(2, 1, 1, 2) breed with (0, 0, 1, 0) for {white,purple}] [12.5 %]>
<(0, 1, 2, 1) | yellow | 4 54 <- ((0, 2, 2, 0), (0, 0, 2, 1)) [alt:(0, 1, 2, 0) breed with (2, 0, 2, 1) for {white}] [50 %]>
<(2, 2, 1, 1) | orange | 5 54 <- ((2, 1, 2, 2), (1, 2, 0, 0)) [25 %]>
<(1, 1, 0, 1) |   pink | 5 56 <- ((0, 0, 0, 0), (1, 2, 0, 1)) [25 %]>
<(2, 0, 0, 2) |   pink | 7 56 <- ((2, 1, 0, 2), (2, 1, 0, 2)) [25 %]>
<(2, 2, 0, 2) |  white | 7 56 <- ((2, 1, 0, 2), (2, 1, 0, 2)) [25 %]>
<(2, 2, 0, 1) |    red | 5 58 <- ((1, 2, 0, 1), (1, 2, 0, 1)) [alt:(1, 2, 0, 0) breed with (0, 0, 1, 0) for {pink}not {pink}] [12.5 %]>
<(1, 0, 0, 1) |   pink | 8 61 <- ((0, 0, 0, 0), (2, 0, 0, 2)) [100 %]>
<(2, 2, 1, 2) | yellow | 6 67 <- ((2, 2, 1, 1), (2, 2, 1, 1)) [alt:(2, 2, 2, 2) breed with (2, 0, 2, 1) for {white,red}] [12.5 %]>
<(1, 0, 0, 2) |  white | 9 69 <- ((1, 0, 0, 1), (1, 0, 0, 1)) [12.5 %]>
<(1, 0, 0, 0) |    red | 9 69 <- ((0, 0, 0, 0), (1, 0, 0, 1)) [25 %]>
<(2, 0, 0, 1) |    red | 9 71 <- ((1, 0, 0, 1), (1, 0, 0, 1)) [alt:(1, 0, 0, 0) breed with (0, 0, 1, 0) for {pink}not {pink}] [12.5 %]>
<(2, 0, 0, 0) |  black | 10 73 <- ((1, 0, 0, 0), (1, 0, 0, 0)) [25 %]>
<(0, 2, 0, 1) |  white | 4 75 <- ((0, 2, 0, 0), (1, 2, 1, 1)) [alt:(0, 2, 0, 0) breed with (2, 0, 2, 1) for {white}] [12.5 %]>
<(1, 1, 0, 2) | purple | 8 78 <- ((1, 0, 1, 1), (2, 2, 0, 2)) [alt:(2, 1, 0, 2) breed with (0, 0, 1, 0) for {white,purple}] [12.5 %]>
<(2, 2, 1, 0) | orange | 7 82 <- ((2, 2, 0, 0), (2, 1, 1, 0)) [25 %]>
<(0, 2, 1, 1) | yellow | 5 84 <- ((0, 2, 2, 0), (0, 1, 0, 1)) [alt:(0, 2, 1, 0) breed with (2, 0, 2, 1) for {white}] [25 %]>
<(2, 1, 0, 1) |    red | 8 91 <- ((1, 2, 0, 0), (2, 0, 0, 2)) [50 %]>
<(1, 2, 0, 2) |  white | 8 105 <- ((1, 2, 1, 1), (2, 2, 0, 2)) [alt:(2, 2, 0, 2) breed with (0, 0, 1, 0) for {white,purple}] [12.5 %]>
<(1, 2, 1, 2) | yellow | 9 115 <- ((2, 1, 2, 2), (1, 1, 0, 2)) [alt:(2, 2, 1, 2) breed with (0, 0, 1, 0) for {white,purple}] [12.5 %]>
*****
cosmos
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 1) | yellow | 0  0 <- Seed>
<(2, 0, 0) |    red | 0  0 <- Seed>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [100 %]>
<  Generic | yellow | 1  1 <- ((0, 2, 1), (0, 2, 1)) [100 %]>
<  Generic |   pink | 1  1 <- ((0, 0, 1), (2, 0, 0)) [100 %]>
<  Generic | orange | 1  1 <- ((0, 2, 1), (2, 0, 0)) [100 %]>
<(0, 1, 2) |  white | 1  4 <- ((0, 0, 1), (0, 2, 1)) [25 %]>
<(1, 0, 1) |   pink | 2  6 <- ((2, 0, 0), (0, 1, 2)) [50 %]>
<(1, 1, 1) | orange | 2  6 <- ((2, 0, 0), (0, 1, 2)) [50 %]>
<(0, 1, 1) | yellow | 2  8 <- ((0, 0, 1), (0, 1, 2)) [25 %]>
<  Generic |    red | 3  8 <- ((2, 0, 0), (1, 0, 1)) [50 %]>
