rose
<(0, 0, 1, 0) |  white | 0  0 <- Seed>
<(0, 2, 2, 0) | yellow | 0  0 <- Seed>
<(2, 0, 2, 1) |    red | 0  0 <- Seed>
<     Generic |  white | 1  1 <- {(0, 0, 1, 0) -  white | (0, 0, 1, 0) -  white} [75 %]>
<(0, 1, 1, 0) |  white | 1  2 <- {(0, 0, 1, 0) -  white | (0, 2, 2, 0) - yellow} [50 %]>
<(0, 1, 2, 0) | yellow | 1  2 <- {(0, 0, 1, 0) -  white | (0, 2, 2, 0) - yellow} [50 %]>
<     Generic |    red | 1  2 <- {(0, 0, 1, 0) -  white | (2, 0, 2, 1) -    red} [50 %]>
<     Generic |   pink | 1  2 <- {(0, 0, 1, 0) -  white | (2, 0, 2, 1) -    red} [50 %]>
<(1, 1, 2, 0) | orange | 1  2 <- {(0, 2, 2, 0) - yellow | (2, 0, 2, 1) -    red} [50 %]>
<(1, 1, 2, 1) | yellow | 1  2 <- {(0, 2, 2, 0) - yellow | (2, 0, 2, 1) -    red} [50 %]>
<     Generic | yellow | 2  3 <- {(0, 2, 2, 0) - yellow | (0, 1, 2, 0) - yellow} [100 %]>
<     Generic | orange | 2  3 <- {(1, 1, 2, 0) - orange | (1, 1, 2, 0) - orange} [56.2 %]>
<(0, 0, 0, 0) | purple | 1  4 <- {(0, 0, 1, 0) -  white | (0, 0, 1, 0) -  white} [25 %]>
<(2, 0, 2, 0) |  black | 1  4 <- {(2, 0, 2, 1) -    red | (2, 0, 2, 1) -    red} [25 %]>
<(2, 0, 2, 2) |   pink | 1  4 <- {(2, 0, 2, 1) -    red | (2, 0, 2, 1) -    red} [25 %]>
<     Generic | purple | 2  6 <- {(0, 0, 1, 0) -  white | (0, 1, 1, 0) -  white} [25 %]>
<(1, 0, 2, 1) |   pink | 2  6 <- {(2, 0, 2, 1) -    red | (0, 1, 2, 0) - yellow} [25 %]>
<(1, 0, 2, 0) |    red | 2  6 <- {(2, 0, 2, 1) -    red | (0, 1, 2, 0) - yellow} [25 %]>
<(0, 0, 2, 0) |  white | 2  6 <- {(0, 1, 2, 0) - yellow | (0, 1, 2, 0) - yellow} [25 %]>
<(2, 1, 2, 1) | orange | 2 10 <- {(1, 1, 2, 0) - orange | (2, 0, 2, 2) -   pink} [25 %]>
<(1, 0, 1, 0) |    red | 1 12 <- {(0, 0, 1, 0) -  white | (2, 0, 2, 1) -    red} [alt:(1, 0, 2, 0) breed with (0, 2, 2, 0) for {white,red}] [25 %]>
<(1, 0, 1, 1) |   pink | 1 12 <- {(0, 0, 1, 0) -  white | (2, 0, 2, 1) -    red} [alt:(1, 0, 2, 1) breed with (0, 2, 2, 0) for {white,pink,red}] [25 %]>
<(1, 0, 2, 2) |  white | 2 14 <- {(1, 1, 2, 1) - yellow | (2, 0, 2, 2) -   pink} [12.5 %]>
<(0, 1, 0, 0) | purple | 2 14 <- {(0, 1, 1, 0) -  white | (0, 1, 1, 0) -  white} [alt:(0, 0, 0, 0) breed with (0, 2, 2, 0) for {yellow}] [12.5 %]>
<(1, 1, 1, 0) |    red | 2 16 <- {(0, 2, 2, 0) - yellow | (1, 0, 1, 0) -    red} [25 %]>
<     Generic |  black | 2 16 <- {(2, 0, 2, 1) -    red | (1, 0, 1, 0) -    red} [25 %]>
<(0, 2, 1, 0) | yellow | 3 16 <- {(0, 2, 2, 0) - yellow | (0, 1, 0, 0) - purple} [50 %]>
<(2, 1, 2, 2) | yellow | 3 18 <- {(2, 0, 2, 1) -    red | (2, 1, 2, 1) - orange} [12.5 %]>
<(0, 2, 0, 0) |  white | 3 18 <- {(0, 1, 0, 0) - purple | (0, 1, 0, 0) - purple} [25 %]>
<(1, 1, 1, 1) |   pink | 2 20 <- {(0, 2, 2, 0) - yellow | (1, 0, 1, 1) -   pink} [12.5 %]>
<(1, 2, 1, 0) | orange | 3 24 <- {(1, 1, 2, 0) - orange | (0, 1, 0, 0) - purple} [12.5 %]>
<(2, 0, 1, 0) |  black | 2 28 <- {(2, 0, 2, 1) -    red | (1, 0, 1, 0) -    red} [alt:(2, 0, 2, 0) breed with (0, 2, 2, 0) for {red}] [12.5 %]>
<(2, 0, 1, 1) |    red | 2 28 <- {(1, 0, 1, 0) -    red | (2, 0, 2, 2) -   pink} [alt:(2, 0, 2, 1) breed with (0, 2, 2, 0) for {pink,red}] [25 %]>
<(1, 0, 1, 2) |  white | 2 32 <- {(1, 0, 1, 1) -   pink | (2, 0, 2, 2) -   pink} [alt:(1, 0, 2, 2) breed with (0, 2, 2, 0) for {white,pink}] [12.5 %]>
<(1, 2, 1, 1) | yellow | 3 32 <- {(0, 1, 0, 0) - purple | (2, 1, 2, 1) - orange} [12.5 %]>
<(2, 1, 1, 1) |    red | 4 32 <- {(2, 0, 2, 2) -   pink | (1, 2, 1, 0) - orange} [25 %]>
<(1, 2, 0, 0) |    red | 4 32 <- {(1, 2, 1, 0) - orange | (1, 2, 1, 0) - orange} [12.5 %]>
<(0, 0, 2, 1) |  white | 2 36 <- {(0, 1, 2, 0) - yellow | (1, 1, 2, 1) - yellow} [alt:(0, 0, 2, 0) breed with (2, 0, 2, 1) for {white}] [6.2 %]>
<(0, 0, 0, 1) | purple | 2 40 <- {(0, 0, 0, 0) - purple | (1, 0, 1, 1) -   pink} [alt:(0, 0, 0, 0) breed with (2, 0, 2, 1) for {white}] [12.5 %]>
<(0, 0, 1, 1) |  white | 2 40 <- {(0, 0, 0, 0) - purple | (1, 0, 1, 1) -   pink} [alt:(0, 0, 1, 0) breed with (2, 0, 2, 1) for {white}] [12.5 %]>
<(0, 1, 1, 1) |  white | 2 41 <- {(0, 2, 2, 0) - yellow | (1, 0, 1, 1) -   pink} [alt:(0, 1, 1, 0) breed with (2, 0, 2, 1) for {white}] [12.5 %]>
<(2, 0, 1, 2) |   pink | 3 44 <- {(2, 0, 2, 1) -    red | (2, 0, 1, 1) -    red} [alt:(2, 0, 2, 2) breed with (0, 2, 2, 0) for {pink}] [12.5 %]>
<(1, 1, 2, 2) | yellow | 4 46 <- {(1, 0, 2, 2) -  white | (2, 1, 2, 2) - yellow} [alt:(2, 1, 2, 2) breed with (0, 0, 1, 0) for {white}] [25 %]>
<(0, 0, 0, 2) | purple | 3 48 <- {(1, 0, 1, 2) -  white | (1, 0, 1, 2) -  white} [6.2 %]>
<(1, 2, 0, 1) |   pink | 4 48 <- {(1, 2, 1, 1) - yellow | (1, 2, 1, 1) - yellow} [6.2 %]>
<(2, 1, 0, 0) |  black | 4 52 <- {(1, 0, 1, 0) -    red | (1, 2, 1, 0) - orange} [6.2 %]>
<(2, 1, 1, 2) |  white | 3 54 <- {(2, 0, 1, 1) -    red | (2, 1, 2, 1) - orange} [6.2 %]>
<(0, 1, 0, 1) | purple | 3 58 <- {(0, 1, 1, 0) -  white | (1, 0, 1, 2) -  white} [alt:(0, 0, 0, 1) breed with (0, 2, 2, 0) for {yellow}] [6.2 %]>
<(2, 1, 0, 2) | purple | 4 62 <- {(2, 1, 1, 2) -  white | (2, 1, 1, 2) -  white} [12.5 %]>
<(2, 2, 0, 1) |    red | 4 68 <- {(1, 2, 1, 1) - yellow | (1, 2, 1, 1) - yellow} [alt:(1, 2, 0, 0) breed with (0, 0, 1, 0) for {pink} not {pink}] [3.1 %]>
<(0, 1, 2, 1) | yellow | 3 70 <- {(0, 2, 2, 0) - yellow | (0, 0, 2, 1) -  white} [alt:(0, 1, 2, 0) breed with (2, 0, 2, 1) for {white}] [50 %]>
<(1, 1, 1, 2) |  white | 3 74 <- {(0, 0, 0, 1) - purple | (2, 1, 2, 1) - orange} [alt:(1, 0, 1, 2) breed with (2, 0, 2, 1) for {yellow,orange}] [12.5 %]>
<(2, 2, 0, 0) |   blue | 3 80 <- {(1, 1, 1, 0) -    red | (1, 1, 1, 0) -    red} [1.6 %]>
<(0, 2, 0, 1) |  white | 4 81 <- {(0, 2, 1, 0) - yellow | (1, 2, 1, 1) - yellow} [alt:(0, 2, 0, 0) breed with (2, 0, 2, 1) for {white}] [6.2 %]>
<(1, 1, 0, 0) |    red | 4 85 <- {(0, 0, 0, 0) - purple | (2, 2, 0, 0) -   blue} [100 %]>
<(2, 1, 1, 0) |    red | 4 85 <- {(2, 0, 2, 0) -  black | (2, 2, 0, 0) -   blue} [100 %]>
<(2, 2, 1, 2) | yellow | 5 86 <- {(2, 1, 2, 1) - orange | (2, 2, 0, 1) -    red} [12.5 %]>
<(2, 1, 2, 0) | orange | 5 93 <- {(2, 0, 2, 0) -  black | (2, 1, 1, 0) -    red} [25 %]>
<(2, 2, 1, 1) | orange | 4 100 <- {(2, 1, 2, 2) - yellow | (2, 2, 0, 0) -   blue} [50 %]>
<(1, 1, 0, 2) | purple | 3 101 <- {(0, 1, 1, 1) -  white | (2, 0, 1, 1) -    red} [3.1 %]>
<(0, 2, 1, 1) | yellow | 3 103 <- {(0, 1, 0, 0) - purple | (0, 1, 1, 1) -  white} [alt:(0, 2, 1, 0) breed with (2, 0, 2, 1) for {white}] [6.2 %]>
<(2, 2, 0, 2) |  white | 5 116 <- {(2, 2, 1, 1) - orange | (2, 2, 1, 1) - orange} [6.2 %]>
<(2, 0, 0, 2) |   pink | 4 117 <- {(1, 1, 0, 2) - purple | (1, 1, 0, 2) - purple} [6.2 %]>
<(1, 1, 0, 1) |   pink | 4 122 <- {(0, 0, 0, 1) - purple | (2, 2, 0, 0) -   blue} [50 %]>
<(1, 2, 1, 2) | yellow | 4 138 <- {(2, 1, 2, 2) - yellow | (1, 1, 0, 2) - purple} [alt:(2, 2, 1, 2) breed with (0, 0, 1, 0) for {white,purple}] [12.5 %]>
<(2, 2, 1, 0) | orange | 5 145 <- {(2, 1, 0, 0) -  black | (2, 1, 1, 0) -    red} [12.5 %]>
<(1, 0, 0, 2) |  white | 4 149 <- {(0, 0, 0, 1) - purple | (1, 1, 0, 2) - purple} [12.5 %]>
<(1, 0, 0, 1) |   pink | 5 155 <- {(0, 0, 0, 0) - purple | (1, 0, 0, 2) -  white} [50 %]>
<(1, 0, 0, 0) |    red | 6 163 <- {(0, 0, 0, 0) - purple | (1, 0, 0, 1) -   pink} [25 %]>
<(2, 0, 0, 0) |  black | 6 171 <- {(1, 0, 0, 1) -   pink | (1, 0, 0, 1) -   pink} [6.2 %]>
<(1, 2, 0, 2) |  white | 5 172 <- {(1, 2, 1, 1) - yellow | (2, 2, 1, 1) - orange} [alt:(2, 2, 0, 2) breed with (0, 0, 1, 0) for {white,purple}] [3.1 %]>
<(2, 1, 0, 1) |    red | 4 193 <- {(2, 2, 0, 0) -   blue | (1, 1, 0, 2) - purple} [alt:(2, 2, 0, 1) breed with (0, 2, 2, 0) for {pink,red}] [25 %]>
<(2, 0, 0, 1) |    red | 6 312 <- {(1, 0, 0, 2) -  white | (1, 0, 0, 1) -   pink} [12.5 %]>
*****
cosmos
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 1) | yellow | 0  0 <- Seed>
<(2, 0, 0) |    red | 0  0 <- Seed>
<  Generic |  white | 1  1 <- {(0, 0, 1) -  white | (0, 0, 1) -  white} [100 %]>
<  Generic | yellow | 1  1 <- {(0, 2, 1) - yellow | (0, 2, 1) - yellow} [100 %]>
<  Generic |   pink | 1  1 <- {(0, 0, 1) -  white | (2, 0, 0) -    red} [100 %]>
