rose
<(0, 0, 1, 0) |  white | 0  0 <- Seed>
<(0, 2, 2, 0) | yellow | 0  0 <- Seed>
<(2, 0, 2, 1) |    red | 0  0 <- Seed>
<     Generic |  white | 1  1 <- ((0, 0, 1, 0), (0, 0, 1, 0)) [75 %]>
<(0, 1, 1, 0) |  white | 1  2 <- ((0, 0, 1, 0), (0, 2, 2, 0)) [50 %]>
<(0, 1, 2, 0) | yellow | 1  2 <- ((0, 0, 1, 0), (0, 2, 2, 0)) [50 %]>
<     Generic |    red | 1  2 <- ((0, 0, 1, 0), (2, 0, 2, 1)) [50 %]>
<     Generic |   pink | 1  2 <- ((0, 0, 1, 0), (2, 0, 2, 1)) [50 %]>
<(1, 1, 2, 0) | orange | 1  2 <- ((0, 2, 2, 0), (2, 0, 2, 1)) [50 %]>
<(1, 1, 2, 1) | yellow | 1  2 <- ((0, 2, 2, 0), (2, 0, 2, 1)) [50 %]>
<     Generic | yellow | 2  3 <- ((0, 2, 2, 0), (0, 1, 2, 0)) [100 %]>
<     Generic | orange | 2  3 <- ((1, 1, 2, 0), (1, 1, 2, 0)) [56.2 %]>
<(0, 0, 0, 0) | purple | 1  4 <- ((0, 0, 1, 0), (0, 0, 1, 0)) [25 %]>
<(2, 0, 2, 0) |  black | 1  4 <- ((2, 0, 2, 1), (2, 0, 2, 1)) [25 %]>
<(2, 0, 2, 2) |   pink | 1  4 <- ((2, 0, 2, 1), (2, 0, 2, 1)) [25 %]>
<     Generic | purple | 2  6 <- ((0, 0, 1, 0), (0, 1, 1, 0)) [25 %]>
<(1, 0, 1, 1) |   pink | 2  6 <- ((2, 0, 2, 1), (0, 0, 0, 0)) [50 %]>
<(1, 0, 1, 0) |    red | 2  6 <- ((2, 0, 2, 1), (0, 0, 0, 0)) [50 %]>
<(1, 0, 2, 1) |   pink | 2  6 <- ((2, 0, 2, 1), (0, 1, 2, 0)) [25 %]>
<(1, 0, 2, 0) |    red | 2  6 <- ((2, 0, 2, 1), (0, 1, 2, 0)) [25 %]>
<(0, 0, 2, 0) |  white | 2  6 <- ((0, 1, 2, 0), (0, 1, 2, 0)) [25 %]>
<(2, 1, 2, 1) | orange | 2 10 <- ((1, 1, 2, 0), (2, 0, 2, 2)) [25 %]>
<(1, 1, 1, 0) |    red | 3 10 <- ((0, 2, 2, 0), (1, 0, 1, 0)) [25 %]>
<     Generic |  black | 3 10 <- ((2, 0, 2, 1), (1, 0, 1, 0)) [25 %]>
<(1, 0, 2, 2) |  white | 2 14 <- ((1, 1, 2, 1), (2, 0, 2, 2)) [12.5 %]>
<(1, 1, 1, 1) |   pink | 3 14 <- ((0, 2, 2, 0), (1, 0, 1, 1)) [12.5 %]>
<(2, 1, 2, 2) | yellow | 3 18 <- ((2, 0, 2, 1), (2, 1, 2, 1)) [12.5 %]>
<(0, 0, 1, 1) |  white | 3 20 <- ((0, 0, 0, 0), (1, 0, 2, 2)) [50 %]>
<(0, 0, 2, 1) |  white | 3 20 <- ((0, 1, 2, 0), (1, 0, 2, 2)) [25 %]>
<(2, 2, 0, 0) |   blue | 4 74 <- ((1, 1, 1, 0), (1, 1, 1, 0)) [1.6 %]>
<(1, 2, 1, 0) | orange | 5 75 <- ((0, 2, 2, 0), (2, 2, 0, 0)) [100 %]>
<(1, 1, 0, 0) |    red | 5 79 <- ((0, 0, 0, 0), (2, 2, 0, 0)) [100 %]>
<(2, 1, 1, 0) |    red | 5 79 <- ((2, 0, 2, 0), (2, 2, 0, 0)) [100 %]>
<(2, 1, 1, 1) |    red | 5 79 <- ((2, 0, 2, 2), (2, 2, 0, 0)) [100 %]>
<(0, 1, 0, 0) | purple | 6 83 <- ((0, 0, 1, 0), (1, 2, 1, 0)) [12.5 %]>
<(0, 2, 1, 0) | yellow | 6 83 <- ((0, 2, 2, 0), (1, 1, 0, 0)) [25 %]>
<(1, 2, 0, 0) |    red | 6 83 <- ((1, 2, 1, 0), (1, 2, 1, 0)) [12.5 %]>
<(1, 2, 1, 1) | yellow | 5 84 <- ((1, 1, 2, 1), (2, 2, 0, 0)) [12.5 %]>
<(2, 1, 0, 0) |  black | 5 84 <- ((1, 0, 1, 0), (2, 2, 0, 0)) [25 %]>
<(2, 0, 1, 0) |  black | 6 87 <- ((2, 0, 2, 1), (1, 1, 0, 0)) [12.5 %]>
<(2, 1, 2, 0) | orange | 6 87 <- ((2, 0, 2, 0), (2, 1, 1, 0)) [25 %]>
<(0, 2, 0, 0) |  white | 7 87 <- ((0, 1, 0, 0), (0, 1, 0, 0)) [25 %]>
<(2, 1, 1, 2) |  white | 6 91 <- ((2, 0, 2, 2), (2, 1, 1, 1)) [12.5 %]>
<(2, 2, 1, 1) | orange | 5 94 <- ((2, 1, 2, 2), (2, 2, 0, 0)) [50 %]>
<(0, 1, 1, 1) |  white | 6 97 <- ((1, 0, 2, 2), (1, 2, 1, 0)) [12.5 %]>
<(2, 1, 0, 2) | purple | 7 99 <- ((2, 1, 1, 2), (2, 1, 1, 2)) [12.5 %]>
<(1, 2, 0, 1) |   pink | 6 100 <- ((1, 2, 1, 1), (1, 2, 1, 1)) [6.2 %]>
<(2, 2, 0, 1) |    red | 6 102 <- ((2, 2, 1, 1), (2, 2, 1, 1)) [12.5 %]>
<(2, 2, 0, 2) |  white | 8 103 <- ((2, 1, 0, 2), (2, 1, 0, 2)) [25 %]>
<(2, 0, 1, 2) |   pink | 8 103 <- ((2, 0, 2, 1), (2, 1, 0, 2)) [25 %]>
<(2, 0, 0, 2) |   pink | 8 103 <- ((2, 1, 0, 2), (2, 1, 0, 2)) [25 %]>
<(2, 0, 1, 1) |    red | 9 105 <- ((2, 0, 2, 1), (2, 0, 0, 2)) [50 %]>
<(1, 1, 0, 1) |   pink | 7 108 <- ((0, 0, 0, 0), (1, 2, 0, 1)) [25 %]>
<(1, 0, 0, 1) |   pink | 9 108 <- ((0, 0, 0, 0), (2, 0, 0, 2)) [100 %]>
<(1, 0, 1, 2) |  white | 9 113 <- ((1, 0, 2, 1), (2, 0, 0, 2)) [25 %]>
<(1, 0, 0, 2) |  white | 10 116 <- ((1, 0, 0, 1), (1, 0, 0, 1)) [12.5 %]>
<(1, 0, 0, 0) |    red | 10 116 <- ((0, 0, 0, 0), (1, 0, 0, 1)) [25 %]>
<(2, 2, 1, 2) | yellow | 8 117 <- ((2, 1, 2, 1), (2, 1, 0, 2)) [12.5 %]>
<(0, 0, 0, 1) | purple | 11 120 <- ((0, 0, 1, 0), (1, 0, 0, 2)) [25 %]>
<(2, 0, 0, 0) |  black | 11 120 <- ((1, 0, 0, 0), (1, 0, 0, 0)) [25 %]>
<(0, 0, 0, 2) | purple | 11 120 <- ((1, 0, 0, 2), (1, 0, 0, 2)) [25 %]>
<(1, 1, 1, 2) |  white | 6 122 <- ((0, 0, 1, 1), (2, 2, 1, 1)) [12.5 %]>
<(1, 1, 0, 2) | purple | 7 127 <- ((0, 0, 1, 1), (2, 1, 1, 2)) [6.2 %]>
<(2, 2, 1, 0) | orange | 6 157 <- ((2, 2, 0, 0), (2, 1, 1, 0)) [25 %]>
<(2, 1, 0, 1) |    red | 9 178 <- ((2, 2, 0, 0), (2, 0, 0, 2)) [100 %]>
<(0, 1, 0, 1) | purple | 11 199 <- ((1, 2, 1, 0), (1, 0, 0, 2)) [12.5 %]>
<(2, 0, 0, 1) |    red | 10 215 <- ((2, 0, 0, 2), (1, 0, 0, 1)) [25 %]>
<(0, 2, 0, 1) |  white | 8 218 <- ((0, 1, 0, 0), (1, 1, 0, 2)) [12.5 %]>
<(1, 2, 0, 2) |  white | 12 306 <- ((2, 2, 0, 2), (0, 1, 0, 1)) [25 %]>
*****
cosmos
<(0, 0, 1) |  white | 0  0 <- Seed>
<(0, 2, 1) | yellow | 0  0 <- Seed>
<(2, 0, 0) |    red | 0  0 <- Seed>
<  Generic |  white | 1  1 <- ((0, 0, 1), (0, 0, 1)) [100 %]>
<  Generic | yellow | 1  1 <- ((0, 2, 1), (0, 2, 1)) [100 %]>
<  Generic |   pink | 1  1 <- ((0, 0, 1), (2, 0, 0)) [100 %]>
<  Generic | orange | 1  1 <- ((0, 2, 1), (2, 0, 0)) [100 %]>
<(0, 1, 2) |  white | 1  4 <- ((0, 0, 1), (0, 2, 1)) [25 %]>
<(1, 0, 1) |   pink | 2  6 <- ((2, 0, 0), (0, 1, 2)) [50 %]>
<(1, 1, 1) | orange | 2  6 <- ((2, 0, 0), (0, 1, 2)) [50 %]>
<(0, 1, 1) | yellow | 2  8 <- ((0, 0, 1), (0, 1, 2)) [25 %]>
<(0, 2, 2) | yellow | 2  8 <- ((0, 1, 2), (0, 1, 2)) [25 %]>
<  Generic |    red | 3  8 <- ((2, 0, 0), (1, 0, 1)) [50 %]>
<(1, 1, 2) |   pink | 3 14 <- ((0, 2, 1), (1, 0, 1)) [12.5 %]>
<(2, 0, 1) |    red | 4 18 <- ((2, 0, 0), (1, 1, 2)) [25 %]>
<(1, 2, 2) | orange | 4 22 <- ((1, 1, 2), (1, 1, 2)) [12.5 %]>
<(2, 2, 2) |    red | 5 26 <- ((1, 2, 2), (1, 2, 2)) [25 %]>
<(2, 1, 1) | orange | 6 27 <- ((2, 0, 0), (2, 2, 2)) [100 %]>
<  Generic |  black | 3 27 <- ((1, 1, 1), (1, 1, 1)) [4.7 %]>
<(2, 1, 2) |    red | 5 36 <- ((1, 0, 1), (1, 2, 2)) [12.5 %]>
<(2, 2, 1) |  black | 6 40 <- ((1, 1, 1), (2, 2, 2)) [12.5 %]>
*****
lilly
<(0, 0, 2) |  white | 0  0 <- Seed>
<(0, 2, 0) | yellow | 0  0 <- Seed>
<(2, 0, 1) |    red | 0  0 <- Seed>
<(0, 1, 1) |  white | 1  1 <- ((0, 0, 2), (0, 2, 0)) [100 %]>
<(1, 0, 2) |  white | 1  2 <- ((0, 0, 2), (2, 0, 1)) [50 %]>
<(1, 0, 1) |   pink | 1  2 <- ((0, 0, 2), (2, 0, 1)) [50 %]>
<(1, 1, 0) | orange | 1  2 <- ((0, 2, 0), (2, 0, 1)) [50 %]>
<(1, 1, 1) | yellow | 1  2 <- ((0, 2, 0), (2, 0, 1)) [50 %]>
<  Generic |  white | 2  2 <- ((0, 0, 2), (0, 1, 1)) [100 %]>
<  Generic | yellow | 2  2 <- ((0, 2, 0), (0, 1, 1)) [75 %]>
<(2, 0, 0) |  black | 1  4 <- ((2, 0, 1), (2, 0, 1)) [25 %]>
